country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,no data,no data,345.97748,270.60236,244.96669,206.35601,22.984644,20.136631,19.057076,16.247261,7.7094336,7.5126236,6.7693705,6.914434,8.700291,9.1441772,7.8231939,7.4521492,6.8944099
Albania,63.380128,60.610128,64.099552,60.240221,57.470347,58.199768,56.690318,53.550124,55.140211,59.67018,57.710251,59.399812,62.119953,65.529876,70.025578,72.670025,72.375941,70.091619,68.044939
Algeria,62.813271,54.267336,51.2507,42.148178,35.193284,26.28833,23.637992,13.499803,8.0617611,9.7703189,10.493012,9.2572333,9.3316685,7.6008408,7.673275,8.7472419,20.451958,27.259228,38.335513
Angola,133.91414,113.50458,73.736175,57.96784,47.717067,33.464042,18.72879,21.043494,31.378232,56.302247,37.16284,29.557715,26.69056,33.149104,39.809857,57.093024,75.662637,69.264947,89.000287
Antigua and Barbuda,104.65307,117.91427,126.26353,125.18718,120.14699,92.683964,89.150962,77.864121,76.080641,100.96677,89.741996,91.803008,87.494089,95.791048,104.57509,100.2931,87.628396,90.555709,89.462606
Argentina,42.05957,49.435499,152.24757,129.11443,117.87785,80.281799,70.79269,62.132711,53.813852,55.39708,43.454315,38.934854,40.436048,43.49607,44.69685,52.562643,53.06018,57.110611,86.057699
Armenia,39.58742,38.052612,38.247604,33.015776,26.445878,20.467167,16.182897,14.249503,14.631835,34.137963,33.757017,35.702398,35.600487,36.330625,39.361634,44.132991,51.928903,53.704434,51.325422
Australia,13.721225,12.014546,10.333127,8.9951426,8.1031382,7.3601297,6.5624063,6.0777931,7.6389502,11.620013,14.354593,17.028159,19.402629,21.411592,24.62153,28.454004,31.560626,32.211202,30.026421
Austria,56.508138,55.056343,54.668618,54.721225,55.931896,55.624914,54.238897,51.896978,55.13683,58.572649,59.740463,59.064511,59.48475,59.875237,58.896382,57.838223,58.3181,57.107465,54.819552
Azerbaijan,22.837186,24.387309,23.01766,21.828259,9.7099795,6.8546552,5.2966484,4.0033179,3.2207652,4.7261824,4.9808659,4.9668637,5.8306015,6.1788358,8.5326239,17.980392,20.608326,22.508608,18.754394
"Bahamas, The",18.71003,18.211669,18.81849,20.853542,21.399188,22.042568,22.777445,22.990842,25.455505,30.909272,33.692271,35.306422,36.449504,44.395844,47.283517,47.968267,49.96265,53.908652,62.560786
Bahrain,25.744556,26.075813,28.378579,32.45156,29.396313,24.193481,20.251526,16.344896,12.562767,21.362543,29.706708,32.803131,36.212589,43.945142,44.397466,66.019541,81.295664,88.237649,94.747501
Bangladesh,35.253213,42.339469,43.998714,42.055569,41.150194,39.87427,39.558066,39.107914,38.24944,37.109364,33.035501,34.033745,33.911266,33.780794,33.150134,31.430703,31.147771,30.500262,31.745454
Barbados,61.276772,67.770259,71.555878,72.155531,72.449112,75.215129,77.818947,77.899384,81.992165,100.37237,108.92049,112.34967,124.12232,135.29932,139.38987,147.91789,150.59965,159.12634,126.34109
Belarus,10.623549,11.299285,10.88279,10.410882,8.9092808,8.252926,8.778304,11.480497,12.91852,21.428991,22.485133,46.911798,30.315991,30.836012,32.93696,46.914172,47.147875,47.214587,42.776594
Belgium,98.225171,97.619531,94.669987,88.879729,84.54995,83.466728,80.492068,76.959027,82.19541,85.921579,85.305984,87.730904,88.65861,89.728068,90.692251,90.03583,90.314763,88.248648,86.950895
Belize,78.999652,87.334773,95.015892,109.34402,103.37417,102.43649,95.652096,93.403676,85.81551,93.700826,89.463182,83.615543,79.616691,78.160559,76.820264,79.331297,93.17802,94.509579,95.218125
Benin,39.591941,37.986511,30.768042,23.380852,21.50953,26.978139,8.3661223,14.285904,18.306656,18.74768,20.999765,21.860411,19.540206,18.503746,22.282075,30.90023,35.92335,39.598463,41.047454
Bhutan,45.613239,54.23547,59.783887,74.619574,78.616387,82.629374,75.519401,70.335594,63.603097,64.499904,59.530017,67.121609,76.264168,100.3286,96.234398,95.652568,109.21537,107.96771,102.38361
Bolivia,63.716064,71.71464,76.34014,84.229013,78.541207,72.965764,48.95097,37.113351,33.944362,36.233746,34.407332,30.223498,29.08793,28.298954,27.742438,29.506448,31.155126,32.872792,33.595137
Bosnia and Herzegovina,34.686286,35.230081,31.198184,27.635188,25.486588,25.515152,21.24532,18.709226,30.885399,35.066603,40.80537,39.550107,42.20738,42.499066,45.858714,45.531113,44.081497,39.239713,34.250914
Botswana,8.2127534,7.5662932,8.4768457,7.2474799,10.679692,7.761634,6.5870594,5.6684392,7.6198761,18.751879,21.447539,20.593605,19.820339,18.115792,17.351426,17.911181,15.823778,13.587929,12.280791
Brazil,62.647505,66.267926,75.041215,70.643443,67.159005,66.333912,64.025198,62.496853,60.691633,63.866542,61.349393,59.342743,59.841635,57.232789,58.455936,67.543682,73.470203,79.019099,82.472479
Brunei Darussalam,no data,2.6271363,1.7656357,0.88556898,0.36640918,0.28660888,0.59297712,0.68423268,0.93910677,1.1099476,1.1129075,2.1285201,2.1006368,2.2085993,3.2312276,2.9530869,3.0048789,2.8255071,2.585699
Bulgaria,72.432376,67.314401,53.666449,46.482277,38.481164,29.782062,27.822527,23.102178,19.753296,21.443232,21.300023,20.572831,21.782789,22.128786,32.634384,30.961355,35.12495,31.302202,27.950769
Burkina Faso,53.390469,52.44877,48.669628,44.636451,45.835942,44.092086,22.656209,25.65947,25.902948,29.097339,31.226019,27.564583,28.366923,29.147205,29.872813,35.612954,39.24106,38.401168,42.880171
Burundi,136.42511,127.38667,159.08831,171.96926,172.73834,136.98012,130.25485,129.61325,102.51523,25.690163,46.911653,42.70571,41.430787,36.106387,35.772482,45.263352,48.419653,51.711555,58.440227
Cabo Verde,82.636759,79.913842,82.551898,81.358895,83.744573,85.338579,77.72692,64.980958,57.600403,64.141831,72.545521,78.497221,91.092431,102.48988,115.92352,126.64856,128.36478,127.21687,124.50306
Cameroon,79.315661,65.614725,60.410583,56.427599,55.76896,47.650002,19.810129,14.749608,11.657101,12.035677,14.704483,15.690083,15.411946,18.211933,21.533792,25.947344,26.68226,30.513513,33.832437
Canada,46.190936,46.009595,42.917029,40.477502,36.570606,36.145127,33.70055,29.826224,34.812998,42.658149,43.272009,44.226163,45.349885,41.578039,39.85118,42.458473,41.360935,38.95003,36.625266
Central African Republic,94.679124,103.11495,98.518256,95.88629,99.723518,102.96241,46.749964,47.850796,35.765994,20.300304,19.883381,19.686291,31.532795,51.789588,62.239951,59.790414,53.8873,50.292352,49.939405
Chad,67.984918,56.448863,54.432,44.656,32.635,28.483974,26.165961,22.058551,19.882272,31.551391,30.053712,30.565809,28.771867,30.519281,41.545109,43.881635,51.491819,49.763777,48.298043
Chile,15.579543,14.458577,15.167602,12.716848,10.299059,7.000668,4.9892071,3.8786862,4.9208174,5.8203545,8.5599218,11.088428,11.945484,12.732346,14.95717,17.27532,21.019379,23.539501,25.560006
Colombia,26.538305,31.15443,37.234626,36.758879,35.085759,32.804112,31.108769,27.282662,27.248739,28.868869,29.566113,29.131682,27.35394,29.588704,32.885041,37.299262,37.375775,38.303719,41.755862
Comoros,60.818169,53.046257,48.238704,44.497791,42.44646,39.8646,38.478977,36.157103,33.418317,31.829406,30.394472,27.32839,24.976122,10.464485,13.496465,14.26558,16.938867,18.385661,20.971376
"Congo, Republic of ",163.22342,195.7844,180.28928,204.37199,198.67939,108.27148,98.815544,110.59827,79.356575,86.704461,46.345212,36.189912,38.979439,43.309258,53.640202,102.93948,118.56882,117.50797,87.844654
Costa Rica,39.016778,39.800362,41.623694,40.744477,41.151797,37.468061,33.160461,27.069877,24.086691,26.150811,28.378379,29.85263,34.303977,35.94066,38.546393,40.984536,45.075103,48.664702,53.548893
Croatia,31.020938,32.01123,30.946503,32.799741,34.933838,35.869887,33.405555,31.898402,37.362158,46.310657,56.398222,62.996485,68.759197,79.475896,82.983934,82.890588,79.52221,76.877191,73.633397
Cyprus,85.208174,87.497867,92.069117,95.688542,96.250742,95.884122,90.57028,84.879955,77.337295,89.102412,93.235586,103.5363,119.12753,145.15073,151.0292,150.56291,146.38127,135.56742,142.83123
Czech Republic,12.158563,13.432963,14.763332,17.549216,19.360354,21.170432,22.845037,23.237461,24.845402,29.977632,33.919729,37.170673,41.075589,41.075783,38.566174,36.402433,33.837622,32.190019,30.438796
Côte d'Ivoire,102.27035,98.379222,87.058339,77.934225,78.399763,80.398986,79.440609,73.99713,70.827981,64.242337,63.048401,69.153466,45.040954,43.359754,44.789982,47.265545,48.392917,49.839058,53.208956
